topic,num_reviews,sentiment,Label
77,41,0.6849804878048781,77
78,41,0.8237707317073171,78
79,41,0.8314853658536585,79
80,39,0.723174358974359,80
81,39,0.7264974358974359,81
82,37,0.8154945945945946,82
83,37,0.5580324324324325,83
84,36,-0.00548333333333333,84
85,35,0.6308657142857144,85
86,35,0.6745000000000001,86
87,34,0.6683294117647058,87
88,34,0.7548941176470588,88
89,33,0.6266909090909092,89
90,33,0.6409575757575757,90
91,32,0.77053125,91
92,32,0.605178125,92
93,32,0.7504625,93
94,32,0.799196875,94
95,32,0.81043125,95
96,32,0.704415625,96
97,31,0.393341935483871,97
98,31,0.8027903225806452,98
99,30,0.6238366666666667,99
100,30,0.8065666666666667,100
101,29,0.7103172413793103,101
102,28,0.8762642857142857,102
103,28,0.7720178571428571,103
104,28,0.6387964285714285,104
105,28,0.7420214285714286,105
106,27,0.6487259259259259,106
107,26,0.5751846153846154,107
108,26,0.9294538461538462,108
109,26,0.7296653846153845,109
110,26,0.8384653846153847,110
111,25,0.76294,111
112,25,0.6412720000000001,112
113,25,0.6204120000000001,113
114,24,0.7314333333333334,114
115,24,0.66605,115
116,23,0.9159652173913043,116
117,23,0.8483782608695651,117
118,23,0.8406173913043478,118
119,23,0.8632260869565217,119
120,23,0.5585130434782609,120
121,22,0.8325545454545454,121
122,22,0.7805363636363637,122
123,22,0.7798863636363635,123
124,22,0.718809090909091,124
125,22,0.42107272727272727,125
126,22,0.8214863636363637,126
127,22,0.9089454545454546,127
128,21,0.7855095238095238,128
129,21,0.6862428571428572,129
130,20,0.764725,130
131,20,0.602335,131
132,20,0.830595,132
133,20,0.761815,133
134,20,0.8487750000000001,134
135,19,0.07467894736842107,135
136,19,0.6941578947368421,136
137,18,0.7038277777777778,137
138,18,0.4678833333333334,138
139,18,0.6495888888888889,139
140,18,0.4553055555555555,140
141,18,0.2316333333333333,141
142,18,0.6703,142
143,18,0.83385,143
144,17,0.9026294117647059,144
145,17,0.8911764705882353,145
146,17,0.16821764705882353,146
147,17,0.7273000000000001,147
148,17,0.4293176470588235,148
149,16,0.61458125,149
150,16,0.4797625,150
151,16,0.7203875,151
152,16,0.6828875,152
153,16,0.53145625,153
154,16,0.65825,154
155,16,0.22547499999999998,155
156,15,0.8043,156
157,15,0.75508,157
158,15,0.5244800000000001,158
159,15,0.7180666666666667,159
160,15,0.6780666666666666,160
161,15,0.7859999999999999,161
162,14,0.7991642857142857,162
163,14,0.10200000000000001,163
164,14,0.6332071428571429,164
165,14,0.7340785714285715,165
166,14,0.8043071428571429,166
167,14,0.4669928571428571,167
168,14,0.7566499999999999,168
169,14,0.9221428571428572,169
170,14,0.7364071428571428,170
171,14,0.7208285714285714,171
172,13,0.8471076923076922,172
173,13,0.4156846153846154,173
174,13,0.8492384615384616,174
175,13,0.7336923076923078,175
176,13,0.8648153846153845,176
177,13,0.5044692307692308,177
178,13,0.3228846153846154,178
179,13,0.7790384615384615,179
180,13,0.5252076923076923,180
181,13,0.8537076923076923,181
182,12,0.7193666666666667,182
183,12,0.72235,183
184,12,0.7872416666666666,184
185,12,0.8995333333333333,185
186,11,0.7313272727272726,186
187,11,0.5337909090909091,187
188,11,0.6735545454545455,188
189,11,0.4230909090909091,189
190,11,0.2035636363636364,190
191,10,0.90776,191
192,10,0.68958,192
193,10,0.89391,193
194,10,0.8532399999999999,194
195,10,0.88276,195
